,SHOT
15636,1000825002
15637,1000825003
15638,1000825004
15639,1000825005
15640,1000825006
15641,1000825007
15642,1000825008
15643,1000825009
15644,1000825010
15645,1000825011
15646,1000825012
15647,1000825013
15648,1000825014
15649,1000825015
15651,1000825017
15653,1000825019
15654,1000825020
15655,1000825021
15656,1000825022
15657,1000825023
15658,1000825024
15659,1000825025
15660,1000829001
15661,1000829002
15662,1000829003
15663,1000829004
15664,1000829005
15665,1000829006
15666,1000829007
15667,1000829008
15668,1000829009
15669,1000829010
15670,1000829011
15671,1000829012
15672,1000829013
15673,1000829014
15674,1000829015
15675,1000829016
15676,1000829017
15677,1000829018
15678,1000829019
15679,1000829020
15680,1000829021
15682,1000829023
15683,1000829024
15684,1000829025
15685,1000829026
15686,1000829027
15687,1000829028
15688,1000829029
15689,1000829030
15690,1000829031
15693,1000830002
15694,1000830003
15695,1000830004
15696,1000830005
15697,1000830006
15698,1000830007
15699,1000830008
15700,1000830009
15701,1000830010
15702,1000830011
15703,1000830012
15704,1000830013
15705,1000830014
15706,1000830015
15707,1000830016
15708,1000830017
15709,1000830018
15710,1000830019
15711,1000830020
15712,1000830021
15713,1000830022
15714,1000830023
15715,1000830024
15716,1000830025
15717,1000831001
15718,1000831002
15719,1000831003
15720,1000831004
15721,1000831005
15722,1000831006
15723,1000831007
15724,1000831008
15725,1000831009
15726,1000831010
15727,1000831011
15728,1000831012
15729,1000831013
15730,1000831014
15731,1000831015
15732,1000831016
15733,1000831017
15734,1000831018
15735,1000831019
15736,1000831020
15737,1000831021
15738,1000831022
15739,1000831023
15740,1000831024
15741,1000831025
15742,1000831026
15743,1000831027
15744,1000901001
15745,1000901002
15746,1000901003
15747,1000901004
15748,1000901005
15749,1000901006
15750,1000901007
15751,1000901008
15752,1000901009
15753,1000901010
15754,1000901011
15755,1000901012
15756,1000901013
15757,1000901014
15759,1000901016
15760,1000901017
15761,1000901018
15762,1000901019
15763,1000901020
15764,1000901021
15765,1000901022
15766,1000901023
15767,1000901024
15768,1000901025
15771,1000906003
15772,1000906004
15773,1000906005
15774,1000906006
15775,1000906007
15776,1000906008
15777,1000906009
15778,1000906010
15779,1000906011
15780,1000906012
15787,1000906019
15788,1000906020
15791,1000906023
15792,1000907001
15793,1000907002
15794,1000907003
15795,1000907004
15796,1000907005
15797,1000907006
15798,1000907007
15799,1000907008
15800,1000907009
15801,1000907010
15802,1000907011
15803,1000907012
15804,1000907013
15806,1000907015
15807,1000907016
15808,1000907017
15809,1000907018
15810,1000907019
15811,1000908001
15812,1000908002
15813,1000908003
15814,1000908004
15815,1000908005
15816,1000908006
15817,1000908007
15818,1000908008
15819,1000908009
15820,1000908010
15821,1000908011
15822,1000908012
15823,1000908013
15824,1000908014
15825,1000908015
15826,1000908016
15827,1000908017
15828,1000908018
15829,1000908019
15830,1000908020
15831,1000908021
15832,1000908022
15833,1000908023
15834,1000908024
15835,1000908025
15837,1000912001
15838,1000912002
15839,1000912003
15840,1000912004
15841,1000912005
15842,1000912006
15843,1000912007
15844,1000912008
15845,1000912009
15846,1000912010
15847,1000912011
15848,1000912012
15849,1000912013
15850,1000912014
15851,1000912015
15852,1000912016
15853,1000912017
15854,1000912018
15855,1000912019
15856,1000912020
15857,1000912021
15858,1000912022
15860,1000912024
15861,1000912025
15862,1000912026
15863,1000913001
15864,1000913002
15865,1000913003
15866,1000913004
15867,1000913005
15868,1000913006
15869,1000913007
15870,1000913008
15871,1000913009
15872,1000913010
15873,1000913011
15874,1000913012
15875,1000913013
15876,1000913014
15877,1000913015
15878,1000913016
15879,1000914001
15880,1000914002
15881,1000914003
15882,1000914004
15883,1000914005
15884,1000914006
15885,1000914007
15886,1000914008
15887,1000914009
15888,1000914010
15889,1000914011
15890,1000914012
15891,1000914013
15892,1000914014
15893,1000914015
15894,1000914016
15895,1000914017
15896,1000914018
15897,1000914019
15898,1000914020
15899,1000914021
15900,1000914022
15901,1000914023
15902,1000914024
15903,1000914025
15904,1000915001
15905,1000915002
15906,1000915003
15907,1000915004
15908,1000915005
15909,1000915006
15910,1000915007
15911,1000915008
15912,1000915009
15913,1000915010
15914,1000915011
15915,1000915012
15916,1000915013
15917,1000915014
15918,1000915015
15919,1000915016
15920,1000915017
15921,1000915018
15922,1000915019
15923,1000915020
15924,1000915021
15925,1000915022
15926,1000915023
15927,1000915024
15928,1000915025
15929,1000915026
15930,1000915027
15931,1000915028
15932,1000915029
15937,1000919001
15938,1000919002
15939,1000919003
15941,1000919005
15942,1000919006
15943,1000919007
15944,1000919008
15945,1000919009
15946,1000919010
15947,1000919011
15948,1000919012
15949,1000919013
15952,1000919016
15953,1000919017
15954,1000919018
15955,1000919019
15956,1000919020
15958,1000919022
15959,1000919023
15960,1000919024
15962,1000920002
15963,1000920003
15964,1000920004
15965,1000920005
15966,1000920006
15967,1000920007
15968,1000920008
15969,1000920009
15970,1000920010
15971,1000920011
15972,1000920012
15973,1000920013
15974,1000920014
15975,1000920015
15976,1000920016
15977,1000920017
15978,1000920018
15979,1000920019
15980,1000920020
15981,1000920021
15982,1000920022
15983,1000920023
15985,1000925002
15986,1000925003
15987,1000925004
15988,1000925005
15989,1000925006
15990,1000925007
15991,1000925008
15992,1000925009
15993,1000925010
15994,1000925011
15996,1000925013
15997,1000925014
15998,1000925015
15999,1000925016
16000,1000925017
16001,1000925018
16002,1000925019
16003,1000925020
16004,1000925021
16005,1000925022
16006,1000925023
16007,1000925024
16008,1000925025
16009,1000925026
16010,1000926001
16011,1000926002
16012,1000926003
16013,1000926004
16014,1000926005
16015,1000926006
16016,1000926007
16017,1000926008
16018,1000926009
16019,1000926010
16020,1000926011
16021,1000926012
16022,1000926013
16023,1000926014
16024,1000926015
16025,1000926016
16026,1000926017
16027,1000926018
16028,1000926019
16029,1000926020
16030,1000926021
16031,1000926022
16032,1000926023
16033,1000927001
16034,1000927002
16035,1000927003
16036,1000927004
16037,1000927005
16038,1000927006
16039,1000927007
16040,1000927008
16041,1000927009
16042,1000927010
16043,1000927011
16044,1000927012
16045,1000927013
16046,1000928001
16047,1000928002
16048,1000928003
16049,1000928004
16050,1000928005
16051,1000928006
16052,1000928007
